epoch,time,reward
0,9.067933320999146,-21.0
1,17.74422836303711,-21.0
2,26.361972332000732,-21.0
3,35.135509729385376,-21.0
4,43.383100509643555,-21.0
5,51.88840198516846,-21.0
6,60.145734548568726,-21.0
7,68.22340083122253,-21.0
8,76.29884266853333,-21.0
9,84.32536458969116,-21.0
10,93.07690930366516,-21.0
11,100.35512804985046,-21.0
12,108.05541133880615,-21.0
13,116.12364888191223,-21.0
14,124.18891406059265,-21.0
15,132.26192259788513,-21.0
16,140.28386664390564,-21.0
17,148.474618434906,-21.0
18,156.66413068771362,-21.0
19,164.68240308761597,-21.0
20,172.7372784614563,-21.0
21,180.75444722175598,-21.0
22,188.85311436653137,-21.0
23,197.19506072998047,-21.0
24,205.35475087165833,-21.0
25,213.68972611427307,-21.0
26,221.872230052948,-21.0
27,230.15097856521606,-21.0
28,238.80143475532532,-21.0
29,246.99747848510742,-21.0
30,256.33086681365967,-21.0
31,264.44956493377686,-21.0
32,272.57790088653564,-21.0
33,280.7585799694061,-21.0
34,289.13628673553467,-21.0
35,297.28011178970337,-21.0
36,304.8447301387787,-21.0
37,312.3111877441406,-21.0
38,320.24939942359924,-21.0
39,328.4359848499298,-21.0
40,336.5880832672119,-21.0
41,344.83305978775024,-21.0
42,352.99661469459534,-21.0
43,361.26650738716125,-21.0
44,369.6039197444916,-21.0
45,378.41765546798706,-21.0
46,387.4185280799866,-21.0
47,396.54957461357117,-21.0
48,405.17560839653015,-21.0
49,413.42899441719055,-21.0
50,421.68411803245544,-21.0
51,429.8460388183594,-21.0
52,438.1593871116638,-21.0
53,446.2640628814697,-21.0
54,454.3598623275757,-21.0
55,462.41759991645813,-21.0
56,470.5288727283478,-21.0
57,478.61959862709045,-21.0
58,486.7334740161896,-21.0
59,494.85830211639404,-21.0
60,503.0641739368439,-21.0
61,511.00645899772644,-21.0
62,518.3663747310638,-21.0
63,526.3037185668945,-21.0
64,534.3919398784637,-21.0
65,542.5298376083374,-21.0
66,550.6943924427032,-21.0
