time,iterations,updates,reward,queue_size,rollout_version
12.471385717391968,17214,0,-21.0,7,0
19.26492404937744,25543,0,-21.0,10,0
25.885979890823364,33548,0,-21.0,10,0
32.56182312965393,41370,0,-21.0,10,0
39.69514036178589,49752,1,-21.0,10,0
46.833855628967285,58069,1,-21.0,10,0
53.41733717918396,65775,1,-21.0,10,0
59.90639400482178,73431,1,-21.0,10,0
66.54750299453735,81093,1,-21.0,10,0
72.81698775291443,89216,2,-21.0,10,1
79.01266407966614,97355,2,-21.0,10,1
85.38501262664795,105329,2,-21.0,10,1
92.19041347503662,113359,2,-21.0,10,1
99.18906140327454,121581,2,-21.0,9,1
106.20534443855286,129912,3,-21.0,10,1
113.25628852844238,138346,3,-21.0,9,2
119.93015027046204,146220,3,-21.0,10,2
126.61330890655518,154090,3,-21.0,10,2
133.29890131950378,161764,3,-21.0,10,2
139.98530960083008,169568,4,-21.0,10,3
147.78422856330872,178656,4,-21.0,10,3
154.81240940093994,187764,4,-21.0,10,3
161.6464512348175,197237,4,-21.0,10,3
167.91838812828064,205678,4,-21.0,10,3
174.90569186210632,214357,5,-21.0,10,3
182.1361587047577,222970,5,-21.0,10,4
189.20194268226624,231489,5,-21.0,10,4
195.7531294822693,239318,5,-21.0,10,4
202.41716504096985,246991,5,-21.0,10,4
208.99073386192322,254743,6,-21.0,10,5
215.61911487579346,262612,6,-21.0,10,5
222.35082077980042,270829,6,-21.0,10,5
228.96664690971375,278914,6,-21.0,10,5
235.58663201332092,286718,6,-21.0,10,6
241.90137577056885,295019,7,-21.0,10,5
248.17274641990662,303305,7,-21.0,10,6
255.5669288635254,313214,7,-20.0,10,6
262.07831931114197,321093,7,-21.0,10,6
270.8702812194824,331433,7,-19.2,10,6
277.6737639904022,339323,8,-21.0,10,6
284.3845067024231,347105,8,-21.0,10,7
291.0476644039154,354879,8,-21.0,10,7
297.5956745147705,362609,8,-21.0,10,7
304.26093554496765,370340,8,-21.0,10,7
310.7785482406616,378071,9,-21.0,10,8
317.3325719833374,385878,9,-21.0,10,8
323.9321393966675,393772,9,-21.0,10,8
330.1165180206299,402026,9,-21.0,10,8
337.1445457935333,411021,9,-20.6,10,8
345.055860042572,420212,10,-21.0,10,8
351.74543166160583,428177,10,-21.0,10,9
358.42449259757996,436229,10,-21.0,10,9
365.10996532440186,444149,10,-21.0,9,9
371.83227014541626,452213,10,-21.0,10,9
378.60411405563354,460267,11,-21.0,10,9
385.32477855682373,468450,11,-21.0,10,10
392.12095952033997,476627,11,-21.0,10,10
398.66200137138367,484491,11,-21.0,10,10
405.12090587615967,492632,11,-21.0,10,10
411.4200472831726,501076,12,-21.0,10,10
417.765065908432,509368,12,-21.0,10,10
424.4442801475525,517373,12,-21.0,10,11
431.07195472717285,525276,12,-21.0,10,11
437.6903758049011,532998,12,-21.0,10,11
444.5658657550812,540811,13,-21.0,10,12
451.3468704223633,548608,13,-21.0,10,12
458.09442830085754,556358,13,-21.0,10,12
464.971750497818,564341,13,-21.0,10,12
472.1160612106323,572888,13,-21.0,10,13
478.54258465766907,580338,14,-21.0,10,13
484.90502882003784,588150,14,-21.0,10,13
491.17806243896484,596657,14,-21.0,10,13
497.4491357803345,605233,14,-21.0,10,13
503.95068764686584,613442,14,-21.0,9,14
510.62654972076416,621174,15,-21.0,10,14
517.6156938076019,629522,15,-21.0,10,14
524.6223816871643,637987,15,-21.0,10,14
531.4012286663055,646084,15,-21.0,10,14
538.1347944736481,654178,15,-21.0,10,15
545.2798228263855,662690,16,-21.0,10,14
552.4022970199585,671186,16,-21.0,10,14
559.2361965179443,679437,16,-21.0,10,15
566.0343143939972,687466,16,-21.0,10,15
573.0574607849121,696595,16,-20.0,10,16
579.7747337818146,705459,17,-20.4,10,16
586.1624281406403,713965,17,-21.0,10,15
593.3882303237915,722785,17,-20.4,10,16
599.9953486919403,730802,17,-21.0,10,16
606.9714369773865,739161,17,-20.4,10,17
614.0974540710449,747676,18,-20.6,10,16
621.3084156513214,756095,18,-20.8,10,17
628.3441371917725,764163,18,-20.4,10,17
635.6725316047668,772613,18,-20.2,10,17
643.2431917190552,781316,18,-20.6,10,17
649.5609834194183,788628,19,-21.0,10,17
656.1783299446106,796965,19,-20.4,10,17
662.5746665000916,805599,19,-20.6,10,18
669.1427972316742,814504,19,-20.4,10,18
675.7349226474762,822959,19,-21.0,10,18
682.230970621109,830862,20,-21.0,10,19
688.9652488231659,838926,20,-21.0,10,19
695.5696024894714,846862,20,-21.0,10,19
702.2133586406708,854700,20,-21.0,10,19
709.7960569858551,863346,20,-19.4,10,19
716.7286865711212,871401,21,-21.0,10,19
725.9657673835754,881899,21,-20.8,10,20
732.8502357006073,889801,21,-21.0,10,20
741.5512096881866,899789,21,-19.2,10,20
755.2564134597778,916968,21,-7.4,10,20
