time,iterations,updates,reward,queue_size,rollout_version
12.405749559402466,2048.0,1.0,-21.0,1.0,0.0
19.06946301460266,4096.0,2.0,-21.0,1.0,0.0
25.854434728622437,6144.0,3.0,-21.0,1.0,0.0
32.56644892692566,8192.0,4.0,-21.0,1.0,1.0
39.19961595535278,10240.0,5.0,-21.0,1.0,2.0
45.914129972457886,12288.0,6.0,-21.0,1.0,3.0
54.01571178436279,14336.0,7.0,-20.6,1.0,3.0
62.61440134048462,16384.0,8.0,-19.6,1.0,4.0
69.31758427619934,18432.0,9.0,-21.0,1.0,6.0
76.27119255065918,20480.0,10.0,-21.0,1.0,7.0
85.15977430343628,22528.0,11.0,-20.8,1.0,7.0
92.40373015403748,24576.0,12.0,-20.8,1.0,9.0
99.14931297302246,26624.0,13.0,-21.0,1.0,10.0
105.75526881217957,28672.0,14.0,-21.0,1.0,10.0
113.09787940979004,30720.0,15.0,-21.0,1.0,12.0
128.21944761276245,32768.0,16.0,-19.8,1.0,13.0
143.90857982635498,34816.0,17.0,-20.6,1.0,15.0
152.90659070014954,36864.0,18.0,-21.0,1.0,16.0
160.45932173728943,38912.0,19.0,-20.6,0.0,16.0
171.14985537528992,40960.0,20.0,-20.4,1.0,17.0
179.4604775905609,43008.0,21.0,-20.0,1.0,18.0
186.85988593101501,45056.0,22.0,-21.0,1.0,19.0
198.64828944206238,47104.0,23.0,-20.6,1.0,20.0
210.36912393569946,49152.0,24.0,-21.0,1.0,21.0
220.19280290603638,51200.0,25.0,-19.6,1.0,22.0
229.44651985168457,53248.0,26.0,-21.0,1.0,23.0
240.81635284423828,55296.0,27.0,-20.8,1.0,24.0
257.52256989479065,57344.0,28.0,-18.8,1.0,25.0
275.5832314491272,59392.0,29.0,-20.0,1.0,27.0
293.0423004627228,61440.0,30.0,-20.2,1.0,28.0
303.85591197013855,63488.0,31.0,-21.0,1.0,29.0
321.2273118495941,65536.0,32.0,-19.8,1.0,29.0
339.0168733596802,67584.0,33.0,-19.8,1.0,31.0
355.5525133609772,69632.0,34.0,-20.0,1.0,32.0
371.2412495613098,71680.0,35.0,-20.6,1.0,33.0
386.8396987915039,73728.0,36.0,-21.0,1.0,33.0
402.9028718471527,75776.0,37.0,-20.8,1.0,35.0
417.7769708633423,77824.0,38.0,-20.4,1.0,35.0
