time,iterations,updates,reward,queue_size,rollout_version
11.77329707145691,2048.0,1.0,-21.0,5.0,0.0
17.254368782043457,4096.0,2.0,-21.0,5.0,0.0
22.702705144882202,6144.0,3.0,-21.0,5.0,0.0
28.166763305664062,8192.0,4.0,-21.0,5.0,0.0
33.61213493347168,10240.0,5.0,-21.0,5.0,0.0
39.44085621833801,12288.0,6.0,-20.8,5.0,0.0
44.867595195770264,14336.0,7.0,-21.0,5.0,1.0
50.377445220947266,16384.0,8.0,-21.0,5.0,2.0
55.8157160282135,18432.0,9.0,-21.0,5.0,3.0
61.24411988258362,20480.0,10.0,-21.0,5.0,4.0
66.70337843894958,22528.0,11.0,-21.0,5.0,5.0
72.26427054405212,24576.0,12.0,-20.8,5.0,6.0
77.68580651283264,26624.0,13.0,-21.0,4.0,7.0
83.12772917747498,28672.0,14.0,-21.0,5.0,7.0
88.88358902931213,30720.0,15.0,-20.4,4.0,9.0
94.44093632698059,32768.0,16.0,-21.0,5.0,9.0
99.92012786865234,34816.0,17.0,-21.0,5.0,11.0
105.34154725074768,36864.0,18.0,-21.0,5.0,11.0
112.24624562263489,38912.0,19.0,-20.8,5.0,14.0
118.889967918396,40960.0,20.0,-21.0,5.0,13.0
125.65993618965149,43008.0,21.0,-21.0,5.0,15.0
132.3584222793579,45056.0,22.0,-21.0,5.0,17.0
139.02695226669312,47104.0,23.0,-21.0,5.0,17.0
145.72431254386902,49152.0,24.0,-21.0,5.0,19.0
152.49171805381775,51200.0,25.0,-21.0,5.0,21.0
159.64229536056519,53248.0,26.0,-20.2,5.0,21.0
166.29041004180908,55296.0,27.0,-21.0,5.0,22.0
173.01371884346008,57344.0,28.0,-21.0,5.0,23.0
179.80157113075256,59392.0,29.0,-21.0,5.0,23.0
186.933278799057,61440.0,30.0,-21.0,5.0,24.0
192.83524250984192,63488.0,31.0,-21.0,5.0,26.0
198.7431035041809,65536.0,32.0,-21.0,5.0,27.0
205.72684741020203,67584.0,33.0,-21.0,5.0,28.0
213.107239484787,69632.0,34.0,-21.0,5.0,29.0
221.25628519058228,71680.0,35.0,-20.0,5.0,29.0
227.0479278564453,73728.0,36.0,-21.0,5.0,32.0
233.0169701576233,75776.0,37.0,-21.0,5.0,32.0
239.0439636707306,77824.0,38.0,-21.0,5.0,33.0
246.84099674224854,79872.0,39.0,-20.4,5.0,33.0
254.49657106399536,81920.0,40.0,-20.8,5.0,34.0
263.8176908493042,83968.0,41.0,-19.0,5.0,36.0
271.61494493484497,86016.0,42.0,-20.6,5.0,38.0
277.83182311058044,88064.0,43.0,-20.2,5.0,38.0
285.5068464279175,90112.0,44.0,-20.0,5.0,39.0
292.79682421684265,92160.0,45.0,-21.0,5.0,40.0
300.44062423706055,94208.0,46.0,-21.0,5.0,41.0
307.7367956638336,96256.0,47.0,-21.0,5.0,42.0
315.59733390808105,98304.0,48.0,-20.6,5.0,43.0
322.4507496356964,100352.0,49.0,-19.4,5.0,45.0
328.1338744163513,102400.0,50.0,-21.0,5.0,45.0
335.44779419898987,104448.0,51.0,-20.0,5.0,47.0
343.5777077674866,106496.0,52.0,-19.8,5.0,46.0
351.9708640575409,108544.0,53.0,-20.0,5.0,48.0
360.0636463165283,110592.0,54.0,-20.0,5.0,50.0
371.280446767807,112640.0,55.0,-18.0,5.0,51.0
381.24503922462463,114688.0,56.0,-20.4,5.0,52.0
388.70307636260986,116736.0,57.0,-19.6,5.0,53.0
398.8740177154541,118784.0,58.0,-17.2,5.0,54.0
408.83085227012634,120832.0,59.0,-18.2,5.0,55.0
419.4625835418701,122880.0,60.0,-16.0,5.0,55.0
426.06000328063965,124928.0,61.0,-20.2,5.0,57.0
437.7597117424011,126976.0,62.0,-16.4,5.0,58.0
451.02660393714905,129024.0,63.0,-16.6,5.0,59.0
459.6696903705597,131072.0,64.0,-19.8,5.0,60.0
469.3499524593353,133120.0,65.0,-19.0,5.0,61.0
478.22327423095703,135168.0,66.0,-19.6,5.0,62.0
491.0849177837372,137216.0,67.0,-17.0,5.0,63.0
502.8697063922882,139264.0,68.0,-16.0,5.0,64.0
515.1659801006317,141312.0,69.0,-17.8,5.0,65.0
526.9482011795044,143360.0,70.0,-17.6,5.0,66.0
538.9120593070984,145408.0,71.0,-14.6,5.0,68.0
552.1814086437225,147456.0,72.0,-16.4,5.0,68.0
564.2922554016113,149504.0,73.0,-16.6,5.0,70.0
578.2849972248077,151552.0,74.0,-15.2,5.0,71.0
591.1542992591858,153600.0,75.0,-14.8,5.0,71.0
603.3751635551453,155648.0,76.0,-19.2,5.0,72.0
617.0628807544708,157696.0,77.0,-15.2,5.0,73.0
629.8905975818634,159744.0,78.0,-16.4,5.0,74.0
643.5634450912476,161792.0,79.0,-15.6,5.0,76.0
660.5952286720276,163840.0,80.0,-18.4,5.0,76.0
673.2744293212891,165888.0,81.0,-15.8,5.0,78.0
686.2635416984558,167936.0,82.0,-16.6,5.0,79.0
700.0341327190399,169984.0,83.0,-15.8,5.0,80.0
713.1640672683716,172032.0,84.0,-16.4,5.0,81.0
725.7242650985718,174080.0,85.0,-17.2,5.0,81.0
741.651478767395,176128.0,86.0,-14.2,5.0,82.0
760.7914245128632,178176.0,87.0,-14.8,5.0,84.0
777.8949089050293,180224.0,88.0,-16.0,5.0,85.0
791.8416488170624,182272.0,89.0,-16.8,5.0,86.0
809.0014262199402,184320.0,90.0,-13.8,5.0,87.0
824.9999601840973,186368.0,91.0,-13.8,4.0,88.0
844.6859347820282,188416.0,92.0,-16.8,5.0,89.0
864.342535495758,190464.0,93.0,-15.4,5.0,90.0
883.491099357605,192512.0,94.0,-14.4,5.0,91.0
902.6596422195435,194560.0,95.0,-17.0,5.0,92.0
922.3527853488922,196608.0,96.0,-15.4,5.0,93.0
941.5326507091522,198656.0,97.0,-12.6,5.0,94.0
957.7250807285309,200704.0,98.0,-16.8,5.0,95.0
977.7536973953247,202752.0,99.0,-14.6,5.0,96.0
999.6431002616882,204800.0,100.0,-13.2,5.0,97.0
1020.7455179691315,206848.0,101.0,-15.6,5.0,99.0
1040.8772382736206,208896.0,102.0,-14.8,5.0,99.0
1058.1574597358704,210944.0,103.0,-17.4,5.0,100.0
1079.6040151119232,212992.0,104.0,-15.2,5.0,101.0
1101.9328501224518,215040.0,105.0,-13.6,5.0,102.0
1120.7594995498657,217088.0,106.0,-17.0,5.0,103.0
1140.1756114959717,219136.0,107.0,-15.8,5.0,104.0
1161.9598841667175,221184.0,108.0,-13.4,5.0,105.0
1184.1797041893005,223232.0,109.0,-14.0,5.0,107.0
1205.7964601516724,225280.0,110.0,-13.6,5.0,108.0
