time,iterations,updates,reward,queue_size,rollout_version
12.765380859375,2048.0,1.0,-21.0,5.0,0.0
19.87718367576599,4096.0,2.0,-21.0,4.0,0.0
35.46760535240173,6144.0,3.0,-12.4,5.0,0.0
42.67643094062805,8192.0,4.0,-21.0,4.0,0.0
49.69653630256653,10240.0,5.0,-21.0,5.0,0.0
56.85908818244934,12288.0,6.0,-21.0,4.0,0.0
62.70518755912781,14336.0,7.0,-21.0,5.0,0.0
68.23814582824707,16384.0,8.0,-21.0,4.0,0.0
73.78611493110657,18432.0,9.0,-21.0,5.0,0.0
80.62260723114014,20480.0,10.0,-21.0,4.0,0.0
87.20749878883362,22528.0,11.0,-21.0,5.0,0.0
92.84905529022217,24576.0,12.0,-21.0,5.0,0.0
98.41183495521545,26624.0,13.0,-21.0,5.0,0.0
103.93009352684021,28672.0,14.0,-21.0,5.0,0.0
109.470876455307,30720.0,15.0,-21.0,5.0,0.0
114.9702718257904,32768.0,16.0,-21.0,4.0,10.0
120.897634267807,34816.0,17.0,-20.4,5.0,10.0
126.47629046440125,36864.0,18.0,-21.0,5.0,10.0
132.43948316574097,38912.0,19.0,-21.0,5.0,10.0
138.31944727897644,40960.0,20.0,-20.2,5.0,10.0
143.9770746231079,43008.0,21.0,-21.0,5.0,10.0
149.52108454704285,45056.0,22.0,-21.0,5.0,10.0
155.0473973751068,47104.0,23.0,-21.0,5.0,10.0
160.85974884033203,49152.0,24.0,-20.4,5.0,10.0
167.98563265800476,51200.0,25.0,-20.8,5.0,10.0
174.40546250343323,53248.0,26.0,-21.0,5.0,20.0
180.3090045452118,55296.0,27.0,-20.6,5.0,20.0
186.1222207546234,57344.0,28.0,-20.6,5.0,20.0
192.1256926059723,59392.0,29.0,-20.4,5.0,20.0
198.00027632713318,61440.0,30.0,-21.0,5.0,20.0
203.86520314216614,63488.0,31.0,-21.0,5.0,20.0
210.86107516288757,65536.0,32.0,-19.6,5.0,20.0
217.52695035934448,67584.0,33.0,-20.2,4.0,20.0
223.40120124816895,69632.0,34.0,-21.0,5.0,20.0
229.5553412437439,71680.0,35.0,-20.0,5.0,20.0
237.9340524673462,73728.0,36.0,-20.6,5.0,30.0
243.85891389846802,75776.0,37.0,-21.0,4.0,30.0
251.44701886177063,77824.0,38.0,-20.6,5.0,30.0
258.1543776988983,79872.0,39.0,-20.0,5.0,30.0
264.05347442626953,81920.0,40.0,-21.0,5.0,30.0
270.11592507362366,83968.0,41.0,-21.0,5.0,30.0
275.98004698753357,86016.0,42.0,-21.0,5.0,30.0
281.82932329177856,88064.0,43.0,-21.0,5.0,30.0
290.69190406799316,90112.0,44.0,-20.0,5.0,30.0
298.31193566322327,92160.0,45.0,-18.6,5.0,30.0
306.0985383987427,94208.0,46.0,-19.0,5.0,40.0
314.89902353286743,96256.0,47.0,-19.4,5.0,40.0
322.7540225982666,98304.0,48.0,-19.0,5.0,40.0
330.94427132606506,100352.0,49.0,-19.8,5.0,40.0
342.18288826942444,102400.0,50.0,-20.0,5.0,40.0
354.0124936103821,104448.0,51.0,-19.0,5.0,40.0
366.8014106750488,106496.0,52.0,-20.4,5.0,40.0
380.08646059036255,108544.0,53.0,-17.8,5.0,40.0
393.290180683136,110592.0,54.0,-19.4,5.0,50.0
407.2974569797516,112640.0,55.0,-18.6,5.0,50.0
420.3896276950836,114688.0,56.0,-19.2,4.0,50.0
436.09552240371704,116736.0,57.0,-20.0,5.0,50.0
451.71891045570374,118784.0,58.0,-19.6,5.0,50.0
463.77808594703674,120832.0,59.0,-18.8,5.0,50.0
474.2106852531433,122880.0,60.0,-20.2,5.0,50.0
485.30648493766785,124928.0,61.0,-19.4,5.0,50.0
497.88820457458496,126976.0,62.0,-18.2,5.0,50.0
511.3124279975891,129024.0,63.0,-18.8,5.0,50.0
525.2404997348785,131072.0,64.0,-18.8,5.0,60.0
539.3926439285278,133120.0,65.0,-19.4,5.0,60.0
554.0393736362457,135168.0,66.0,-18.2,5.0,60.0
569.1778349876404,137216.0,67.0,-19.8,5.0,60.0
586.1817963123322,139264.0,68.0,-16.4,5.0,60.0
597.6710472106934,141312.0,69.0,-18.4,5.0,60.0
608.954904794693,143360.0,70.0,-19.2,5.0,60.0
621.0910019874573,145408.0,71.0,-17.6,5.0,60.0
633.0947713851929,147456.0,72.0,-17.8,5.0,60.0
642.5148923397064,149504.0,73.0,-19.2,5.0,60.0
652.2399835586548,151552.0,74.0,-20.2,5.0,60.0
661.8400900363922,153600.0,75.0,-20.2,5.0,70.0
674.728434085846,155648.0,76.0,-20.0,5.0,70.0
688.5430767536163,157696.0,77.0,-20.6,5.0,70.0
704.5725677013397,159744.0,78.0,-17.6,5.0,70.0
718.5022301673889,161792.0,79.0,-20.4,5.0,70.0
731.7434322834015,163840.0,80.0,-20.4,5.0,70.0
749.0022704601288,165888.0,81.0,-19.8,5.0,70.0
763.8113913536072,167936.0,82.0,-18.8,5.0,70.0
780.7259516716003,169984.0,83.0,-20.0,5.0,80.0
795.7714347839355,172032.0,84.0,-20.2,5.0,80.0
811.3894934654236,174080.0,85.0,-20.6,5.0,80.0
828.7119975090027,176128.0,86.0,-19.6,5.0,80.0
844.3087456226349,178176.0,87.0,-19.4,5.0,80.0
860.7635605335236,180224.0,88.0,-19.8,5.0,80.0
876.5184977054596,182272.0,89.0,-19.4,5.0,80.0
892.5172345638275,184320.0,90.0,-18.6,5.0,80.0
909.8098294734955,186368.0,91.0,-18.6,5.0,80.0
926.4810836315155,188416.0,92.0,-19.6,5.0,80.0
943.6610069274902,190464.0,93.0,-18.8,5.0,90.0
960.185759305954,192512.0,94.0,-19.0,5.0,90.0
977.4339828491211,194560.0,95.0,-18.6,5.0,90.0
994.2126207351685,196608.0,96.0,-19.0,5.0,90.0
1013.1804387569427,198656.0,97.0,-17.4,5.0,90.0
1032.1414587497711,200704.0,98.0,-17.4,5.0,90.0
1049.831615447998,202752.0,99.0,-18.2,5.0,90.0
1067.983196735382,204800.0,100.0,-19.2,5.0,90.0
1086.2660155296326,206848.0,101.0,-17.4,5.0,90.0
1105.7298016548157,208896.0,102.0,-16.8,5.0,90.0
1122.482493877411,210944.0,103.0,-18.6,5.0,100.0
1139.2173159122467,212992.0,104.0,-19.6,5.0,100.0
1158.8850510120392,215040.0,105.0,-18.4,5.0,100.0
1176.6592855453491,217088.0,106.0,-18.0,5.0,100.0
1193.2749626636505,219136.0,107.0,-19.2,5.0,100.0
1211.1965777873993,221184.0,108.0,-17.6,5.0,100.0
1229.2269494533539,223232.0,109.0,-17.4,5.0,100.0
1247.167680978775,225280.0,110.0,-18.2,5.0,100.0
1266.6864733695984,227328.0,111.0,-16.8,5.0,100.0
1285.1402904987335,229376.0,112.0,-19.6,5.0,100.0
1303.4561126232147,231424.0,113.0,-18.6,5.0,110.0
1323.5565202236176,233472.0,114.0,-18.2,5.0,110.0
1341.5437860488892,235520.0,115.0,-17.6,5.0,110.0
1360.5622446537018,237568.0,116.0,-19.0,5.0,110.0
1379.6193923950195,239616.0,117.0,-18.8,5.0,110.0
1399.861546754837,241664.0,118.0,-17.6,5.0,110.0
1419.9852256774902,243712.0,119.0,-16.6,5.0,110.0
1441.315143108368,245760.0,120.0,-18.8,5.0,110.0
1462.620101928711,247808.0,121.0,-15.8,5.0,110.0
1481.401697397232,249856.0,122.0,-18.6,5.0,110.0
1500.9814596176147,251904.0,123.0,-17.4,5.0,120.0
1522.9620854854584,253952.0,124.0,-15.0,5.0,120.0
1544.889056444168,256000.0,125.0,-14.2,5.0,120.0
1565.6585102081299,258048.0,126.0,-15.2,5.0,120.0
1585.35013961792,260096.0,127.0,-17.4,5.0,120.0
1606.1465260982513,262144.0,128.0,-17.4,5.0,120.0
1627.1880991458893,264192.0,129.0,-17.0,5.0,120.0
1648.8633229732513,266240.0,130.0,-15.2,5.0,120.0
1666.755116701126,268288.0,131.0,-14.2,5.0,120.0
1686.6841025352478,270336.0,132.0,-18.2,5.0,120.0
1708.8747372627258,272384.0,133.0,-16.4,5.0,130.0
1732.566036939621,274432.0,134.0,-16.0,5.0,130.0
1756.6643698215485,276480.0,135.0,-16.4,5.0,130.0
1781.454885482788,278528.0,136.0,-15.6,5.0,130.0
1803.2589795589447,280576.0,137.0,-16.6,5.0,130.0
1825.575002670288,282624.0,138.0,-14.8,5.0,130.0
1844.502284526825,284672.0,139.0,-13.2,5.0,130.0
1861.1613552570343,286720.0,140.0,-15.2,5.0,130.0
1885.4033777713776,288768.0,141.0,-14.8,5.0,130.0
1909.768480539322,290816.0,142.0,-13.8,5.0,130.0
1934.8100185394287,292864.0,143.0,-12.8,5.0,140.0
1958.1594610214233,294912.0,144.0,-15.6,5.0,140.0
1983.9707815647125,296960.0,145.0,-13.8,4.0,140.0
2007.7031996250153,299008.0,146.0,-13.8,5.0,140.0
2033.0403354167938,301056.0,147.0,-14.6,5.0,140.0
2059.131421804428,303104.0,148.0,-15.6,5.0,140.0
2083.89448595047,305152.0,149.0,-13.6,5.0,140.0
2110.2574293613434,307200.0,150.0,-14.0,5.0,140.0
2135.6592478752136,309248.0,151.0,-16.0,5.0,140.0
2165.139756679535,311296.0,152.0,-14.6,5.0,150.0
2193.710393190384,313344.0,153.0,-12.6,5.0,150.0
2220.396622657776,315392.0,154.0,-13.6,5.0,150.0
2245.9597158432007,317440.0,155.0,-12.4,5.0,150.0
2273.3194720745087,319488.0,156.0,-11.2,5.0,150.0
2295.456891298294,321536.0,157.0,-15.4,5.0,150.0
2320.9390234947205,323584.0,158.0,-14.8,5.0,150.0
2348.987475156784,325632.0,159.0,-10.8,5.0,150.0
2377.7505741119385,327680.0,160.0,-11.2,5.0,150.0
2401.0532591342926,329728.0,161.0,-14.8,5.0,150.0
2427.2419385910034,331776.0,162.0,-13.0,5.0,150.0
2451.366173028946,333824.0,163.0,-13.0,5.0,160.0
2477.751710653305,335872.0,164.0,-13.2,5.0,160.0
2505.5925064086914,337920.0,165.0,-12.4,5.0,160.0
2530.5865778923035,339968.0,166.0,-14.2,5.0,160.0
2556.739450454712,342016.0,167.0,-14.0,5.0,160.0
2581.568083047867,344064.0,168.0,-12.0,5.0,160.0
2608.4666361808777,346112.0,169.0,-12.4,5.0,160.0
2635.3050475120544,348160.0,170.0,-12.2,5.0,160.0
2662.648241519928,350208.0,171.0,-14.2,5.0,160.0
2687.778905391693,352256.0,172.0,-14.8,5.0,160.0
2707.8868250846863,354304.0,173.0,-13.2,5.0,170.0
2726.539745092392,356352.0,174.0,-14.0,5.0,170.0
2747.5206887722015,358400.0,175.0,-13.6,5.0,170.0
2766.550388813019,360448.0,176.0,-15.6,5.0,170.0
2786.6101653575897,362496.0,177.0,-14.6,5.0,170.0
2807.904478788376,364544.0,178.0,-10.4,5.0,170.0
2830.090385198593,366592.0,179.0,-10.8,5.0,170.0
2852.7620420455933,368640.0,180.0,-11.6,5.0,170.0
2875.4387395381927,370688.0,181.0,-11.6,5.0,170.0
2897.801057100296,372736.0,182.0,-12.2,5.0,170.0
2920.688618659973,374784.0,183.0,-11.2,5.0,180.0
2943.063592672348,376832.0,184.0,-10.4,5.0,180.0
2967.3427398204803,378880.0,185.0,-13.2,5.0,180.0
2999.8931634426117,380928.0,186.0,-9.6,5.0,180.0
3024.015611886978,382976.0,187.0,-13.4,5.0,180.0
3057.0374071598053,385024.0,188.0,-10.2,5.0,180.0
3087.8632860183716,387072.0,189.0,-10.8,5.0,180.0
3117.9554398059845,389120.0,190.0,-11.8,5.0,180.0
3149.9390575885773,391168.0,191.0,-10.4,5.0,180.0
3180.8742632865906,393216.0,192.0,-10.8,5.0,190.0
3210.825639486313,395264.0,193.0,-11.2,5.0,190.0
3240.5467734336853,397312.0,194.0,-11.6,5.0,190.0
3265.1967675685883,399360.0,195.0,-11.2,5.0,190.0
3287.3576900959015,401408.0,196.0,-12.4,5.0,190.0
3316.8057165145874,403456.0,197.0,-11.4,5.0,190.0
3343.487091064453,405504.0,198.0,-7.4,5.0,190.0
3367.103940963745,407552.0,199.0,-12.0,5.0,190.0
3397.0725395679474,409600.0,200.0,-12.8,5.0,190.0
3421.8659765720367,411648.0,201.0,-13.6,5.0,190.0
3442.791717529297,413696.0,202.0,-13.2,5.0,190.0
3471.735067129135,415744.0,203.0,-6.6,5.0,200.0
3500.022979259491,417792.0,204.0,-11.0,5.0,200.0
3528.6964926719666,419840.0,205.0,-11.8,5.0,200.0
